Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Bayern Munich,Lucas Hernández,23,France,Centre-Back,CB,£63.00m,Atlético Madrid,Spain,£72.00m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/lucas-hernandez/profil/spieler/281963
Bayern Munich,Benjamin Pavard,23,France,Right-Back,RB,£27.00m,VfB Stuttgart,Germany,£31.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/benjamin-pavard/profil/spieler/353366
Bayern Munich,Michaël Cuisance,20,France,Central Midfield,CM,£4.50m,Borussia Mönchengladbach,Germany,£10.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-cuisance/profil/spieler/344600
Bayern Munich,Philippe Coutinho,27,Brazil,Attacking Midfield,AM,£81.00m,FC Barcelona,Spain,Loan fee:£7.65m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444
Bayern Munich,Ivan Perisic,30,Croatia,Left Winger,LW,£27.00m,Inter Milan,Italy,Loan fee:£4.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ivan-perisic/profil/spieler/42460
Bayern Munich,Fiete Arp,19,Germany,Centre-Forward,CF,£3.60m,Hamburger SV,Germany,£2.70m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/fiete-arp/profil/spieler/343337
Bayern Munich,Lars Lukas Mai,19,Germany,Centre-Back,CB,£540Th.,FC Bayern Munich II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/lars-lukas-mai/profil/spieler/345780
Bayern Munich,Adrian Fein,20,Germany,Defensive Midfield,DM,£675Th.,FC Bayern Munich II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/adrian-fein/profil/spieler/379979
Bayern Munich,Marco Friedl,21,Austria,Centre-Back,CB,£2.25m,SV Werder Bremen,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/marco-friedl/profil/spieler/156990
Borussia Dortmund,Mats Hummels,30,Germany,Centre-Back,CB,£31.50m,Bayern Munich,Germany,£27.45m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/mats-hummels/profil/spieler/39728
Borussia Dortmund,Nico Schulz,26,Germany,Left-Back,LB,£22.50m,TSG 1899 Hoffenheim,Germany,£22.95m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/nico-schulz/profil/spieler/85867
Borussia Dortmund,Thorgan Hazard,26,Belgium,Left Winger,LW,£34.20m,Borussia Mönchengladbach,Germany,£22.95m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/thorgan-hazard/profil/spieler/102226
Borussia Dortmund,Julian Brandt,23,Germany,Central Midfield,CM,£45.00m,Bayer 04 Leverkusen,Germany,£22.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/julian-brandt/profil/spieler/187492
Borussia Dortmund,Paco Alcácer,25,Spain,Centre-Forward,CF,£33.30m,FC Barcelona,Spain,£18.90m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/paco-alcacer/profil/spieler/126716
Borussia Dortmund,Mateu Morey,19,Spain,Right-Back,RB,£270Th.,FC Barcelona U19,Spain,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/mateu-morey/profil/spieler/388513
Borussia Dortmund,Tobias Raschl,19,Germany,Defensive Midfield,DM,-,Borussia Dortmund U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/tobias-raschl/profil/spieler/384745
Borussia Dortmund,Sergio Gómez,19,Spain,Attacking Midfield,AM,£2.07m,SD Huesca,Spain,"End of loanJul 20, 2020",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sergio-gomez/profil/spieler/366930
Borussia Dortmund,Luca Unbehaun,18,Germany,Goalkeeper,GK,-,Borussia Dortmund U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/luca-unbehaun/profil/spieler/388815
Borussia Dortmund,Felix Passlack,21,Germany,Right-Back,RB,£1.35m,Norwich City,England,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/felix-passlack/profil/spieler/274461
Borussia Dortmund,Alexander Isak,19,Sweden,Centre-Forward,CF,£7.20m,Willem II Tilburg,Netherlands,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/alexander-isak/profil/spieler/349066
Borussia Dortmund,Sebastian Rode,28,Germany,Central Midfield,CM,£2.70m,Eintracht Frankfurt,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sebastian-rode/profil/spieler/44466
Borussia Dortmund,Jeremy Toljan,24,Germany,Right-Back,RB,£2.70m,Celtic FC,Scotland,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/jeremy-toljan/profil/spieler/129674
Borussia Dortmund,André Schürrle,28,Germany,Left Winger,LW,£10.80m,Fulham FC,England,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/andre-schurrle/profil/spieler/58205
Borussia Dortmund,Shinji Kagawa,30,Japan,Attacking Midfield,AM,£5.40m,Besiktas JK,Turkey,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/shinji-kagawa/profil/spieler/81785
RB Leipzig,Ademola Lookman,21,England,Left Winger,LW,£18.00m,Everton FC,England,£16.20m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ademola-lookman/profil/spieler/406040
RB Leipzig,Christopher Nkunku,21,France,Attacking Midfield,AM,£10.80m,Paris Saint-Germain,France,£11.70m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/christopher-nkunku/profil/spieler/344381
RB Leipzig,Hannes Wolf,20,Austria,Attacking Midfield,AM,£10.80m,Red Bull Salzburg,Austria,£10.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/hannes-wolf/profil/spieler/321070
RB Leipzig,Luan Cândido,18,Brazil,Left-Back,LB,£3.60m,SE Palmeiras B,Brazil,£7.20m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/luan-candido/profil/spieler/432166
RB Leipzig,Patrik Schick,23,Czech Republic,Centre-Forward,CF,£13.50m,AS Roma,Italy,Loan fee:£3.15m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/patrik-schick/profil/spieler/242086
RB Leipzig,Ethan Ampadu,18,Wales,Centre-Back,CB,£9.00m,Chelsea FC,England,Loan fee:£585Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ethan-ampadu/profil/spieler/392771
RB Leipzig,Philipp Tschauner,33,Germany,Goalkeeper,GK,£360Th.,Hannover 96,Germany,£315Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/philipp-tschauner/profil/spieler/21726
RB Leipzig,Fabrice Hartmann,18,Germany,Right Winger,RW,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/fabrice-hartmann/profil/spieler/405685
RB Leipzig,Mads Bidstrup,18,Denmark,Central Midfield,CM,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/mads-bidstrup/profil/spieler/462832
RB Leipzig,Frederik Jäkel,18,Germany,Centre-Back,CB,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/frederik-jakel/profil/spieler/405679
RB Leipzig,Malik Talabidi,18,Germany,Centre-Back,CB,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/malik-talabidi/profil/spieler/508961
RB Leipzig,Tom Krauß,18,Germany,Defensive Midfield,DM,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/tom-krauss/profil/spieler/405687
Bayer 04 Leverkusen,Kerem Demirbay,25,Germany,Central Midfield,CM,£28.80m,TSG 1899 Hoffenheim,Germany,£28.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/kerem-demirbay/profil/spieler/125858
Bayer 04 Leverkusen,Moussa Diaby,19,France,Left Winger,LW,£10.80m,Paris Saint-Germain,France,£13.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/moussa-diaby/profil/spieler/395516
