,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages
1,L. Messi,32,Argentina,FC Barcelona,94,94,95500000,565000,RW,2021,87,92,92,96,39,66,La Liga,Spain,Forward,95.5M,565K
2,Cristiano Ronaldo,34,Portugal,Juventus,93,93,58500000,405000,ST,2022,90,93,82,89,35,78,Serie A,Italy,Forward,58.5M,405K
3,Neymar Jr,27,Brazil,Paris Saint-Germain,92,92,105500000,290000,LW,2022,91,85,87,95,32,58,Ligue 1,France,Forward,105.5M,290K
4,E. Hazard,28,Belgium,Real Madrid,91,91,9.00E+07,470000,LW,2024,91,83,86,94,35,66,La Liga,Spain,Forward,90M,470K
5,K. De Bruyne,28,Belgium,Manchester City,91,91,9.00E+07,370000,CAM,2023,76,86,92,86,61,78,Premier League,UK,Midfielder,90M,370K
6,M. ter Stegen,27,Germany,FC Barcelona,90,93,67500000,250000,GK,2022,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,67.5M,250K
7,V. van Dijk,27,Netherlands,Liverpool,90,91,7.80E+07,2.00E+05,CB,2023,77,60,70,71,90,86,Premier League,UK,Defender,78M,200K
8,L. Modric,33,Croatia,Real Madrid,90,90,4.50E+07,340000,CM,2020,74,76,89,89,72,66,La Liga,Spain,Midfielder,45M,340K
9,M. Salah,27,Egypt,Liverpool,90,90,80500000,240000,RW,2023,93,86,81,89,45,74,Premier League,UK,Forward,80.5M,240K
10,K. Mbappé,20,France,Paris Saint-Germain,89,95,93500000,155000,ST,2022,96,84,78,90,39,75,Ligue 1,France,Forward,93.5M,155K
11,K. Koulibaly,28,Senegal,Napoli,89,91,67500000,150000,CB,2021,71,28,54,67,89,87,Serie A,Italy,Defender,67.5M,150K
12,H. Kane,25,England,Tottenham Hotspur,89,91,8.30E+07,220000,ST,2024,70,91,79,81,47,83,Premier League,UK,Forward,83M,220K
13,Alisson,26,Brazil,Liverpool,89,91,5.80E+07,155000,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,58M,155K
14,De Gea,28,Spain,Manchester United,89,90,5.60E+07,205000,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,56M,205K
15,N. Kanté,28,France,Chelsea,89,90,6.60E+07,235000,CDM,2023,78,65,77,81,87,83,Premier League,UK,Midfielder,66M,235K
16,G. Chiellini,34,Italy,Juventus,89,89,24500000,215000,CB,2020,68,46,58,60,90,82,Serie A,Italy,Defender,24.5M,215K
17,S. Agüero,31,Argentina,Manchester City,89,89,6.00E+07,3.00E+05,ST,2021,80,90,77,88,33,74,Premier League,UK,Forward,60M,300K
18,Sergio Ramos,33,Spain,Real Madrid,89,89,31500000,3.00E+05,CB,2020,72,68,75,73,87,85,La Liga,Spain,Defender,31.5M,300K
19,L. Suárez,32,Uruguay,FC Barcelona,89,89,5.30E+07,355000,ST,2021,73,89,80,84,51,84,La Liga,Spain,Forward,53M,355K
20,Sergio Busquets,30,Spain,FC Barcelona,89,89,5.50E+07,3.00E+05,CDM,2023,42,62,80,80,85,80,La Liga,Spain,Midfielder,55M,300K
21,A. Griezmann,28,France,FC Barcelona,89,89,6.90E+07,370000,CF,2024,81,86,84,89,57,72,La Liga,Spain,Forward,69M,370K
22,P. Dybala,25,Argentina,Juventus,88,92,76500000,215000,CAM,2022,83,82,84,90,43,64,Serie A,Italy,Midfielder,76.5M,215K
23,P. Pogba,26,France,Manchester United,88,91,72500000,250000,CM,2021,74,81,86,85,66,86,Premier League,UK,Midfielder,72.5M,250K
24,Ederson,25,Brazil,Manchester City,88,91,54500000,185000,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,54.5M,185K
25,R. Sterling,24,England,Manchester City,88,90,7.30E+07,255000,RW,2023,93,79,78,89,45,57,Premier League,UK,Forward,73M,255K
26,C. Eriksen,27,Denmark,Tottenham Hotspur,88,89,6.80E+07,205000,CAM,2020,73,81,90,84,53,63,Premier League,UK,Midfielder,68M,205K
27,T. Courtois,27,Belgium,Real Madrid,88,89,4.80E+07,235000,GK,2024,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,48M,235K
28,Piqué,32,Spain,FC Barcelona,88,88,3.80E+07,285000,CB,2022,56,61,72,68,88,80,La Liga,Spain,Defender,38M,285K
29,S. Handanovic,34,Slovenia,Inter,88,88,2.60E+07,110000,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,26M,110K
30,H. Lloris,32,France,Tottenham Hotspur,88,88,3.60E+07,150000,GK,2022,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,36M,150K
31,David Silva,33,Spain,Manchester City,88,88,3.60E+07,265000,CAM,2020,65,74,88,89,52,57,Premier League,UK,Midfielder,36M,265K
32,E. Cavani,32,Uruguay,Paris Saint-Germain,88,88,4.70E+07,195000,ST,2020,75,86,72,79,55,83,Ligue 1,France,Forward,47M,195K
33,D. Godín,33,Uruguay,Inter,88,88,2.80E+07,135000,CB,2022,60,48,64,61,89,83,Serie A,Italy,Defender,28M,135K
34,T. Kroos,29,Germany,Real Madrid,88,88,5.70E+07,330000,CM,2023,45,80,90,81,70,69,La Liga,Spain,Midfielder,57M,330K
35,M. Reus,30,Germany,Borussia Dortmund,88,88,5.60E+07,170000,CAM,2023,85,88,84,87,45,66,Bundesliga,Germany,Midfielder,56M,170K
