Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0,0,1,1
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,10,1.03,28,17
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,900,17,1.7,46,29
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,4,1.29,11,7
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,"2,543",23,0.81,79,58
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,4,4,180,1,0.5,4,3
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,16,2.71,45,28
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,"1,170",16,1.23,51,36
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,33,"2,970",47,1.42,99,55
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,34,"3,060",41,1.21,142,107
Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,36,"3,240",60,1.67,160,110
Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1,1,2,1
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30,30,"2,700",49,1.63,143,101
Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,2,1,129,3,2.09,6,4
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,26,"2,340",36,1.38,129,99
Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26,26,"2,340",41,1.58,142,106
Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,25,25,"2,204",38,1.55,102,69
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,3,3,196,3,1.38,6,3
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,33,33,"2,960",43,1.31,126,87
Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,6,5,495,3,0.55,19,17
Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,1,0,6,0,0,0,0
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,4,3,347,7,1.82,15,8
