,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos,, Value_Euros , Value_Euros1 
1,A. Abeid,21,Mauritania,Levante UD,65,73,€725K,€4K,LB,2020,71,42,54,62,63,65,La Liga,Spain,Defender,725K,4K,A. Abeid LB,,"725,000.00",725000
2,A. Abrashi,29,Albania,SC Freiburg,71,71,€2M,€15K,CDM,2020,64,55,58,65,70,76,Bundesliga,Germany,Midfielder,2M,15K,"A. Abrashi, CDM",,"2,000,000.00",2000000
3,A. Adouyev,20,Russia,Montpellier HSC,62,79,€675K,€4K,CAM,2022,74,54,59,71,47,54,Ligue 1,France,Midfielder,675K,4K,"A. Adouyev, CAM",,"675,000.00",675000
4,A. Ajeti,22,Switzerland,West Ham United,74,82,€8.5M,€56K,ST,2023,78,72,60,69,29,75,Premier League,UK,Forward,8.5M,56K,"A. Ajeti, ST",,"8,500,000.00",8500000
5,A. Alegue,22,Cameroon,FC Nantes,61,64,€325K,€4K,RM,2020,67,56,56,66,28,45,Ligue 1,France,Midfielder,325K,4K,"A. Alegue, RM",,"325,000.00",325000
6,A. Almici,26,Italy,Hellas Verona,69,70,€1.1M,€7K,RB,2021,81,42,64,64,61,75,Serie A,Italy,Defender,1.1M,7K,"A. Almici, RB",,"1,100,000.00",1100000
7,A. Areola,26,France,Paris Saint-Germain,82,86,€21M,€71K,GK,2023,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,21M,71K,"A. Areola, GK",,"21,000,000.00",21000000
8,A. Ba,20,France,FC Nantes,65,78,€1M,€5K,CM,2023,67,50,58,65,60,71,Ligue 1,France,Midfielder,1M,5K,"A. Ba, CM",,"1,000,000.00",1000000
9,A. Baba,24,Ghana,Chelsea,74,78,€6.5M,€56K,LB,2020,78,50,66,75,72,67,Premier League,UK,Defender,6.5M,56K,"A. Baba, LB",,"6,500,000.00",6500000
10,A. Bakir,18,Germany,Borussia Dortmund,58,76,€260K,€3K,RM,2020,67,47,53,66,29,49,Bundesliga,Germany,Midfielder,260K,3K,"A. Bakir, RM",,"260,000.00",260000
11,A. Balic,21,Croatia,Udinese,68,75,€1.3M,€5K,CM,2020,55,57,71,72,52,55,Serie A,Italy,Midfielder,1.3M,5K,"A. Balic, CM",,"1,300,000.00",1300000
12,A. Bamba,29,Ivory Coast,Angers SCO,73,73,€3.3M,€18K,RB,2021,78,41,65,66,70,73,Ligue 1,France,Defender,3.3M,18K,"A. Bamba, RB",,"3,300,000.00",3300000
13,A. Bamba,25,France,FC Nantes,62,67,€400K,€4K,CAM,2020,62,57,66,63,46,46,Ligue 1,France,Midfielder,400K,4K,"A. Bamba, CAM",,"400,000.00",400000
14,A. Barák,24,Czech Republic,Udinese,77,84,€12.5M,€16K,CM,2022,64,73,76,76,52,71,Serie A,Italy,Midfielder,12.5M,16K,"A. Barák, CM",,"12,500,000.00",12500000
15,A. Barillà,31,Italy,Parma,71,71,€2M,€25K,CM,2020,82,65,69,70,67,76,Serie A,Italy,Midfielder,2M,25K,"A. Barillà, CM",,"2,000,000.00",2000000
16,A. Barkok,21,Germany,Fortuna Dusseldorf,70,84,€3.9M,€12K,CM,2020,69,62,67,79,54,63,Bundesliga,Germany,Midfielder,3.9M,12K,"A. Barkok, CM",,"3,900,000.00",3900000
17,A. Barnes,29,England,Burnley,78,78,€10.5M,€44K,ST,2021,62,78,68,74,47,81,Premier League,UK,Forward,10.5M,44K,"A. Barnes, ST",,"10,500,000.00",10500000
18,A. Barreca,24,Italy,Genoa,74,79,€6.5M,€12K,LB,2020,79,34,63,75,70,69,Serie A,Italy,Defender,6.5M,12K,"A. Barreca, LB",,"6,500,000.00",6500000
19,A. Bastoni,20,Italy,Inter,72,84,€5M,€24K,CB,2023,51,33,43,42,76,66,Serie A,Italy,Defender,5M,24K,"A. Bastoni, CB",,"5,000,000.00",5000000
20,A. Begovic,32,Bosnia Herzegovina,Bournemouth,75,75,€4M,€39K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,4M,39K,"A. Begovic, GK",,"4,000,000.00",4000000
21,A. Belotti,25,Italy,Torino,82,87,€30M,€63K,ST,2021,77,81,57,77,41,82,Serie A,Italy,Forward,30M,63K,"A. Belotti, ST",,"30,000,000.00",30000000
22,A. Berardi,28,Italy,Hellas Verona,62,62,€220K,€2K,GK,2023,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,220K,2K,"A. Berardi, GK",,"220,000.00",220000
23,A. Bifulco,22,Italy,Napoli,61,70,€400K,€8K,RM,2022,67,45,61,62,38,45,Serie A,Italy,Midfielder,400K,8K,"A. Bifulco, RM",,"400,000.00",400000
24,A. Blin,22,France,Amiens SC,73,79,€5M,€12K,CDM,2022,53,55,67,65,72,72,Ligue 1,France,Midfielder,5M,12K,"A. Blin, CDM",,"5,000,000.00",5000000
25,A. Bobichon,23,France,Nimes Olympique,72,78,€4.2M,€14K,CM,2020,73,72,72,73,56,66,Ligue 1,France,Midfielder,4.2M,14K,"A. Bobichon, CM",,"4,200,000.00",4200000
26,A. Bodzek,33,Poland,Fortuna Dusseldorf,70,70,€875K,€15K,CDM,2020,38,54,61,58,70,76,Bundesliga,Germany,Midfielder,875K,15K,"A. Bodzek, CDM",,"875,000.00",875000
27,A. Boniotti,24,Italy,Brescia,62,67,€350K,€2K,RB,2024,69,40,55,60,61,57,Serie A,Italy,Defender,350K,2K,"A. Boniotti, RB",,"350,000.00",350000
28,A. Boruc,39,Poland,Bournemouth,75,75,€675K,€23K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,675K,23K,"A. Boruc, GK",,"675,000.00",675000
29,A. Briancon,24,France,Nimes Olympique,76,79,€8.5M,€18K,CB,2022,60,48,60,55,75,79,Ligue 1,France,Defender,8.5M,18K,"A. Briancon, CB",,"8,500,000.00",8500000
30,A. Budimir,27,Croatia,RCD Mallorca,72,72,€3.3M,€19K,ST,2023,59,73,44,64,34,72,La Liga,Spain,Forward,3.3M,19K,"A. Budimir, ST",,"3,300,000.00",3300000
31,A. Buongiorno,20,Italy,Torino,62,77,€625K,€5K,LB,2022,61,43,52,54,62,66,Serie A,Italy,Defender,625K,5K,"A. Buongiorno, LB",,"625,000.00",625000
32,A. Caci,22,France,RC Strasbourg Alsace,72,83,€4.9M,€16K,CB,2022,73,48,65,67,72,70,Ligue 1,France,Defender,4.9M,16K,"A. Caci, CB",,"4,900,000.00",4900000
33,A. Calabresi,23,Italy,Bologna,72,79,€3.9M,€17K,CB,2022,59,30,48,54,73,71,Serie A,Italy,Defender,3.9M,17K,"A. Calabresi, CB",,"3,900,000.00",3900000
34,A. Candreva,32,Italy,Inter,79,79,€10M,€65K,RM,2021,74,78,76,80,61,67,Serie A,Italy,Midfielder,10M,65K,"A. Candreva, RM",,"10,000,000.00",10000000
35,A. Carroll,30,England,Newcastle United,75,75,€6.5M,€39K,ST,2020,44,77,61,67,44,80,Premier League,UK,Forward,6.5M,39K,"A. Carroll, ST",,"6,500,000.00",6500000
36,A. Cavagnera,20,Belgium,Milan,58,72,€260K,€4K,CDM,2020,59,34,57,62,54,60,Serie A,Italy,Midfielder,260K,4K,"A. Cavagnera, CDM",,"260,000.00",260000
37,A. Cerri,23,Italy,Cagliari,72,80,€4.6M,€21K,ST,2023,59,72,54,68,39,75,Serie A,Italy,Forward,4.6M,21K,"A. Cerri, ST",,"4,600,000.00",4600000
38,A. Christensen,23,Denmark,Chelsea,80,87,€19M,€85K,CB,2022,68,31,63,68,82,72,Premier League,UK,Defender,19M,85K,"A. Christensen, CB",,"19,000,000.00",19000000
39,A. Ciciretti,25,Italy,Napoli,74,75,€6.5M,€44K,CAM,2020,77,68,73,75,35,49,Serie A,Italy,Midfielder,6.5M,44K,"A. Ciciretti, CAM",,"6,500,000.00",6500000
40,A. Cistana,22,Italy,Brescia,70,80,€2.6M,€7K,CB,2020,68,42,54,60,70,67,Serie A,Italy,Defender,2.6M,7K,"A. Cistana, CB",,"2,600,000.00",2600000
41,A. Connolly,19,Republic of Ireland,Brighton & Hove Albion,64,79,€975K,€7K,ST,2022,70,64,40,60,20,57,Premier League,UK,Forward,975K,7K,"A. Connolly, ST",,"975,000.00",975000
42,A. Consigli,32,Italy,Sassuolo,81,81,€11M,€48K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,11M,48K,"A. Consigli, GK",,"11,000,000.00",11000000
43,A. Conti,25,Italy,Milan,75,78,€8.5M,€32K,RM,2022,75,59,70,75,73,66,Serie A,Italy,Midfielder,8.5M,32K,"A. Conti, RM",,"8,500,000.00",8500000
44,A. Coric,22,Croatia,Roma,73,82,€6M,€26K,CAM,2023,69,66,71,76,40,52,Serie A,Italy,Midfielder,6M,26K,"A. Coric, CAM",,"6,000,000.00",6000000
45,A. Cornelius,26,Denmark,Parma,74,76,€7M,€38K,ST,2021,64,73,55,66,39,81,Serie A,Italy,Forward,7M,38K,"A. Cornelius, ST",,"7,000,000.00",7000000
46,A. Correa,24,Argentina,Atletico Madrid,82,86,€29M,€59K,RM,2024,83,80,75,86,54,65,La Liga,Spain,Midfielder,29M,59K,"A. Correa, RM",,"29,000,000.00",29000000
