,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos
1,A. Abeid,21,Mauritania,Levante UD,65,73,€725K,€4K,LB,2020,71,42,54,62,63,65,La Liga,Spain,Defender,725K,4K,"A. Abeid, LB"
2,A. Abrashi,29,Albania,SC Freiburg,71,71,€2M,€15K,CDM,2020,64,55,58,65,70,76,Bundesliga,Germany,Midfielder,2M,15K,"A. Abrashi, CDM"
3,A. Adouyev,20,Russia,Montpellier HSC,62,79,€675K,€4K,CAM,2022,74,54,59,71,47,54,Ligue 1,France,Midfielder,675K,4K,"A. Adouyev, CAM"
4,A. Ajeti,22,Switzerland,West Ham United,74,82,€8.5M,€56K,ST,2023,78,72,60,69,29,75,Premier League,UK,Forward,8.5M,56K,"A. Ajeti, ST"
5,A. Alegue,22,Cameroon,FC Nantes,61,64,€325K,€4K,RM,2020,67,56,56,66,28,45,Ligue 1,France,Midfielder,325K,4K,"A. Alegue, RM"
6,A. Almici,26,Italy,Hellas Verona,69,70,€1.1M,€7K,RB,2021,81,42,64,64,61,75,Serie A,Italy,Defender,1.1M,7K,"A. Almici, RB"
7,A. Areola,26,France,Paris Saint-Germain,82,86,€21M,€71K,GK,2023,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,21M,71K,"A. Areola, GK"
8,A. Ba,20,France,FC Nantes,65,78,€1M,€5K,CM,2023,67,50,58,65,60,71,Ligue 1,France,Midfielder,1M,5K,"A. Ba, CM"
9,A. Baba,24,Ghana,Chelsea,74,78,€6.5M,€56K,LB,2020,78,50,66,75,72,67,Premier League,UK,Defender,6.5M,56K,"A. Baba, LB"
10,A. Bakir,18,Germany,Borussia Dortmund,58,76,€260K,€3K,RM,2020,67,47,53,66,29,49,Bundesliga,Germany,Midfielder,260K,3K,"A. Bakir, RM"
11,A. Balic,21,Croatia,Udinese,68,75,€1.3M,€5K,CM,2020,55,57,71,72,52,55,Serie A,Italy,Midfielder,1.3M,5K,"A. Balic, CM"
12,A. Bamba,29,Ivory Coast,Angers SCO,73,73,€3.3M,€18K,RB,2021,78,41,65,66,70,73,Ligue 1,France,Defender,3.3M,18K,"A. Bamba, RB"
13,A. Bamba,25,France,FC Nantes,62,67,€400K,€4K,CAM,2020,62,57,66,63,46,46,Ligue 1,France,Midfielder,400K,4K,"A. Bamba, CAM"
14,A. Barák,24,Czech Republic,Udinese,77,84,€12.5M,€16K,CM,2022,64,73,76,76,52,71,Serie A,Italy,Midfielder,12.5M,16K,"A. Barák, CM"
15,A. Barillà,31,Italy,Parma,71,71,€2M,€25K,CM,2020,82,65,69,70,67,76,Serie A,Italy,Midfielder,2M,25K,"A. Barillà, CM"
16,A. Barkok,21,Germany,Fortuna Dusseldorf,70,84,€3.9M,€12K,CM,2020,69,62,67,79,54,63,Bundesliga,Germany,Midfielder,3.9M,12K,"A. Barkok, CM"
17,A. Barnes,29,England,Burnley,78,78,€10.5M,€44K,ST,2021,62,78,68,74,47,81,Premier League,UK,Forward,10.5M,44K,"A. Barnes, ST"
18,A. Barreca,24,Italy,Genoa,74,79,€6.5M,€12K,LB,2020,79,34,63,75,70,69,Serie A,Italy,Defender,6.5M,12K,"A. Barreca, LB"
